question,answer,intent
아메리카노 한 잔에 얼마인가요?,4600원입니다,가격문의
새우버거세트 하나에 얼마인가요?,4900원입니다,가격문의
튀김 1인분에 얼마에요?,3500원입니다,가격문의
빅맥 세트 하나 얼마에요?,빅맥세트 하나 5500원입니다,가격문의
그래도 세트로 하는 게 나아요 어때요?,지금 세트로 하시면 원래 가격보다 좀 저렴하게 사실 수 있으세요,가격문의
그건 잘 모르겠어요? 단품은 얼만데요?,지금 와퍼 단품 행사하고 있어서 3500원이에요,가격문의
불고기버거하고 콜라하고만 하면 얼마예요?,5500원이요,가격문의
그게 원래는 얼마예요?,원래는 얼만지 잘 모르겠는데 지금은 4900원에요,가격문의
요게 얼마예요 단품이,단품 4600원입니다,가격문의
이거 단품은 얼마예요?,단품은 5900원입니다,가격문의
머시룸 버거 저거는 얼마예요?,세트로 하시면 8100원이고 단품 하시면 7000원이에요,가격문의
원래는 얼마예요 저게?,정가는 5700원이에요,가격문의
커피값이 더 싸네?,대신에 리필도 됩니다,가격문의
콜라는 얼마죠?,2000원이요,가격문의
커피는 얼마에요?,1500원이요,가격문의
그럼 조각당 사천사백 원 이천사백 원 그래요?,두 조각 나가는 게 싼 거고요 네 조각 나가는 게 비싼 거예요,가격문의
이거는 세트로 구매하면은 가격이 오천팔백 원이에요?,네,가격문의
음료는 얼마씩 해요?,콜라 큰 거는 천팔백 원이고요,가격문의
살이 버거는 얼마예요?,세트로 하시면 오천육백 원이요,가격문의
그럼 두 조각에 그렇게죠?,네,가격문의
그래서 얼마에요?,그래서 육천삼백 원입니다,가격문의
음료는 얼마에요?,천구백 원씩이에요,가격문의
아 추가요금 내야 돼요? 그럼 요렇게 하면 얼마에요 가격이?,잠시만요. 하나만 하시면 육천사백 원이에요,가격문의
얼마죠?,오천이백 원입니다,가격문의
그럼 수수 버거 단품 사천오백 원이에요?,네,가격문의
그래요 그러면 세트메뉴로 조금 저렴한 거 불고기는 얼마예요?,불고기는 세트메뉴 5800원입니다,가격문의
세트메뉴는 가격이 얼마에요?,세트메뉴 가격 여기 옆에 적혀 있어요,가격문의
새우버거는 저거는 얼마예요?,여기 가격 있어요 이 가격이에요,가격문의
치킨버거는 지금 할인 기간이라서 싼 거예요?,치킨버거만 2700원이에요,가격문의
가격대는 적혀있는 게 다예요 가격대는 두 가지 종류?,아니 이게 햄버거만이고 이게 세트메뉴입니다,가격문의
불고기버거는 하루 종일 이천 원이에요?,네,가격문의
새우버거 단품이 얼마죠?,삼천팔백 원이요,가격문의
네 커피 샌드위치 단품에 삼 천구백 원이에요?,네 원래 오천백 원인데 천이백 원씩 할인이 된 거예요,가격문의
두 개랑 콜라 한 잔은 얼마죠?,1200원이에요,가격문의
그냥 9000원에 판매하는 거예요?,세트 구매하셔야지 개당 9000원인 거예요,가격문의
사이다는요?,사이다는 더 비싸요,가격문의
콜라 하나 가지고 부족하지 싶은데,펩시는 2천 원이고 코카콜라는 3천 원 1.25L입니다,가격문의
치토스 치킨은 얼마인데요?,19000원요,가격문의
프라이드가 만 원인가요?,"프라이드가 만 원이고 양념, 간장은 만 이천 원이에요",가격문의
반 마리는 얼마예요?,"반 마리 만 원, 만 천 원 이렇게 있어요",가격문의
이거는 얼만데요?,3천 원이요,가격문의
세트는 5600원이고 단품은 가격이 얼마예요?,단품은 3400원이요 단품은 인크레더블 버거나 화이트 갈릭 버거가 제일 맛있어요,가격문의
올 데에 킹 세트가 전부다 4900원인 거예요? 낱개로 하면은요?,낱개로 하면 버거가 3천 원이요,가격문의
선결제인가요?,아니요 나가실 때 결제하시면 됩니다,결제문의
계산은 지금 해야 하나요?,나가실 때 해주시면 됩니다,결제문의
계산 먼저 할게요,네 만 이천 원입니다,결제문의
선불인가요?,네,결제문의
여긴 매장에 키오스크 없네요,네 없어요,결제문의
선불인가요?,선불이에요,결제문의
현금은 여기서 해도 되고?,여기서도 카드로 해도 돼요,결제방법문의
카드로 주문하면 여기 기계로 해야 돼요?,네,결제방법문의
카드 결제되나요?,네 됩니다,결제방식선택
현금으로는 결제가 안 되나요?,현금 결제도 가능합니다,결제방식선택
계산은 카드로 할게요,잠시만 기다려주세요,결제방식선택
현금이 없는데 카드 되나요?,네 카드로 계산해드릴게요,결제방식선택
그럼 카드로 결제할게요,네 카드 결제 도와드리겠습니다,결제방식선택
카드 결제는 안 되죠?,다 됩니다,결제방식선택
카드로 결제해주세요,카드 결제 완료되었습니다,결제방식선택
제가 지금 카드밖에 없는데 카드 계산되나요?,당연히 카드 계산되죠,결제방식선택
카드로 할게요,결제 도와드리겠습니다,결제방식선택
여기 카드요,네 카드 결제 완료되었습니다,결제방식선택
카드로 할게요,만 원이요,결제방식선택
떡볶이랑 순대 포장하려고 하는데 카드 결제되나요?,네 카드 됩니다,결제방식선택
카드로 결제해주세요,준비되면 진동벨로 알려드릴게요,결제방식선택
페이코로 결제 가능한가요?,페이코 결제는 불가합니다,결제방식선택
카드 되죠?,네 됩니다,결제방식선택
네 카드로 결제 부탁합니다,결제 완료되었습니다,결제방식선택
결제는 카드로 할게요,네 결제되셨습니다,결제방식선택
카드 됩니까?,네 물론입니다,결제방식선택
네 카드로 결제할게요,네 여기 영수증이랑 번호표 받고 기다려주세요,결제방식선택
카드로 결제 가능할까요?,네. 가능합니다.,결제방식선택
죄송한데 계좌이체로 결제해도 되나요?,"네, 계좌이체해주셔도 됩니다.",결제방식선택
카드 결제 가능할까요?,가능합니다,결제방식선택
카드 결제할게요,앞에 있는 카드 기계에 삽입해 주세요,결제방식선택
잠시만요 카드 드릴게요,육천오백 원이요,결제방식선택
아뇨 카드로 하면 이걸로 결제해야 돼요?,네,결제방식선택
아 여섯 개. 뭐 적립이나 할인 같은 건 없어요?,네 홈플러스 적립은 가능하시고 할인은 없어요,결제방식선택
가격이 저렴해가지고 카드 되는가요?,네,결제방식선택
4가지 계산해 주세요,15000원입니다,결제요청
계산 부탁합니다,전부 해서 1만 5천 원입니다,결제요청
그러면 일단 이거부터 먼저 계산해 주세요,카드를 여기 앞에 세로로 꼽아 주세요,결제요청
그럼 그렇게 결제해주세요,네 알겠습니다,결제요청
네 계산해주세요,7200원이에요,결제요청
얼마에요?,만 원이요,결제요청
어묵 국물은 가져다주시나요?,네 가져다드릴게요,국물요청
혹시 어묵 국물도 같이 주실 수 있나요?,어묵 국물은 뒤쪽 셀프 바에서 자유롭게 드실 수 있습니다,국물요청
국물은 주시나요?,육수가 따로 나가요,국물요청
먹다 남으면 포장해주시나요?,네 포장해드립니다,남은음식포장요구
아 그럼 혹시 남은 거 포장도 가능한가요?,네 가져다주시면 포장 도와드릴게요,남은음식포장요구
혹시 먹다가 음식이 남으면 포장도 가능한가요?,네 요청해주시면 포장해드리고 있어요,남은음식포장요구
남은 음식 포장되나요?,"네, 포장됩니다.",남은음식포장요구
네 혹시 남으면 포장 가능한가요?,네 가능합니다,남은음식포장요구
혹시 먹다가 남으면 포장은 해주시나요?,네 해드려요,남은음식포장요구
요거 포장 좀 해주시겠어요? 급하게 가봐야 해가지고,네,남은음식포장요구
이 안에 냅킨도 다 들어가 있는 거예요?,네 케첩도 하나 들어가 있어요,냅킨요구
냅킨 조금 더 넣어주세요,네,냅킨요구
물티슈 있어요?,물티슈는 없는데 휴지 드릴까요? 잠시만요,냅킨요구
흘려서 그런데 물티슈 좀 주시겠어요?,옆에 보시면 있어요,냅킨요구
이거 물티슈 하나 가져가도 돼요?,네 가져가세요,냅킨요구
비닐봉지하고요 물티슈 따로 나오는 거 있어요?,티슈는 앞에 있는 거 가져가셔야 해요,냅킨요구
단체 주문할 때 한 개당 콜라를 다 주는 거예요?,네,단체주문문의
여기 단체 주문도 가능해요?,네 가능해요,단체주문문의
혹시 여기 주문하려면 내일 서른 개 먹는다 하면 언제쯤 시켜야 하나요?,그 전날 말씀해주셔도 되고 한 시간 전에 미리 말씀해주셔도 삼십 개는 금방 만들어요,단체주문문의
낮에 학교에 간식 넣으려고 하는데 한 다섯 마리 정도 하려고 하면은 언제쯤?,그럼 전날에 미리 예약하시면은 돼요,단체주문문의
단체 주문하려면은 얼마 전에 전화드려야 하는지?,하루 전에만 주시면 돼요,단체주문문의
대기번호는 어디서 확인할 수 있어요?,영수증에 대기번호도 같이 쓰여있습니다,대기번호확인요청
얼마나 걸리죠?,10분 정도 걸립니다,대기시간문의
얼마나 기다리나요?,5분 정도 기다리시면 됩니다,대기시간문의
떡볶이 나오는 데 얼마나 걸리죠?,10분 소요됩니다,대기시간문의
얼마나 걸릴까요?,지금 바로 준비해드리겠습니다,대기시간문의
주문하면 시간은 얼마나 걸릴까요?,10분 정도 기다려야 합니다,대기시간문의
많이 기다려야 하나요?,5분 정도 기다리시면 됩니다,대기시간문의
얼마나 기다려야 됩니까?,15분 정도면 충분합니다,대기시간문의
몇 분 정도 걸리나요?,5분 정도 걸릴 것 같습니다,대기시간문의
얼마나 기다려야 되죠?,십오분 정도 기다리셔야 돼요,대기시간문의
딥 치즈 버거하고 치즈베이컨 버거하고 어떤 게 달라요?,딥 치즈 버거는 일반 치킨 패티에 치즈 소스가 들어가는 거고 치즈 베이컨은 베이컨 추가된 거요,두메뉴의차이에대한질문
프라이드랑 양념이랑 달라요?,달라요 프라이드가 두꺼워요 양념소스 찍어드세요,두메뉴의차이에대한질문
10분만 지났는데 아예 불가능한가요?,네 힘들 것 같습니다,런치세트문의
지금 런치세트 가능한가요?,10분이 지나서 안됩니다,런치세트문의
그럼 상하이 스파이시 버거는 할인되나요?,예 고객님,런치타임문의
혹시 더블 디럭스 버거도 런치 타임 할인되나요?,해당 메뉴는 런치메뉴 제외입니다,런치타임문의
런치 타임 몇 시까지인가요?,오후 2시까지입니다,런치타임문의
음료 리필 되나요?,리필은 안됩니다.,리필문의
콜라 리필 되나요?,네 가능합니다,리필문의
콜라 리필돼요?,네,리필문의
음료는 리필 되나요?,네,리필문의
콜라 마시고 리필 돼요?,네 한번 리필 가능하세요,리필문의
케첩 한 개 더 넣어 주시겠어요 콜라는 마시고 리필 돼요?,네 리필 안되세요,리필문의
이거는 콜라는 매장에서 마시고 리필 좀 해줘요,리필 따로 안돼요,리필문의
당도는 어때요? 많이 짭거나 달거나 해요?,개인차라서 객관적으로 말씀드리기 어려워요,맛에대한문의
매운맛 많이 매워요?,네 저희 꺼 엄청 매워요,맛에대한문의
떡볶이 어린이가 먹어도 안 맵나요?,아니요 신라면보다 더 맵습니다,맛에대한문의
그럼 3단계는 얼마나 맵죠?,신라면이랑 맵기가 비슷하다고 보시면 되세요,맛에대한문의
제일 매운 단계는 얼마나 맵죠?,엽기 떡볶이랑 비슷해요,맛에대한문의
맵고 그런 건 아니죠?,네 케첩 들어가서 맵지 않아요,맛에대한문의
그렇게 하면 맛은 없나요?,아뇨 반반이라 원래 맛하고 똑같아요,맛에대한문의
그러면 저건 프라이드치킨 그 맛 그대로에요?,예,맛에대한문의
티렉스 저게 약간 매콤한가요?,아니요 매콤한 건 크리스피버거에요,맛에대한문의
땡초치킨은 많이 매워요?,땡초는 많이 매콤하죠,맛에대한문의
그러면 새우하고 치킨버거는 매운맛은 아니죠?,네 아니에요,맛에대한문의
많이 매워요?,많이 맵지는 않아요,맛에대한문의
조금 맵게 가능할까요?,네 그럼요,맛조절요청
떡볶이 맵게 부탁드릴게요,네 알겠습니다,맛조절요청
포장만 해 갔었는데 식사 안에서 가능한가요?,네 안에서 식사 가능하세요,매장내식사가능문의
전화번호 좀 알려주세요,네 02-1234-5678입니다,매장연락처요청
그럼 전화번호 하나 주실 수 있나요?,씨랑 드릴게요,매장연락처요청
전화번호는 그러면,이거 같이 찍어가시면 돼요,매장연락처요청
여기가 말로만 듣던 맘스터치인가요?,네 맘스터치입니다,매장확인
데워 먹어도 되나요?,네,먹는방법문의
프렌치프라이 대자로 바꾸면 얼마인가요?,500원 추가되세요,메뉴교환시추가가격문의
얼마 추가인가요?,500원 추가하시면 됩니다,메뉴교환시추가가격문의
추가 금액은 여기다 내면 되나요?,500원 더 주시면 됩니다,메뉴교환시추가가격문의
감자튀김 사이즈업은 얼마인가요?,500원 추가하시면 가능합니다,메뉴교환시추가가격문의
후룩 떡볶이로 교체할 경우 추가 요금이 있나요?,네 500원의 추가 요금 있습니다,메뉴교환시추가가격문의
콜라와 사이드를 라지로 업그레이드하려면 얼마 더 내야 하나요?,600원 더 내시면 가능합니다,메뉴교환시추가가격문의
음료를 딸기 라테로 변경 시 금액 추가해야 되죠?,잠시만요 금액 추가되는 거 없으세요,메뉴교환시추가가격문의
그럼 음료수 없이 치킨은?,치킨은 한 조각에 이천삼백 원이고요,메뉴교환시추가가격문의
만약에 감자튀김 하나를 안 하면 뭐가 더 싸죠?,콜라만 하시면 감자튀김 하나 안 하시는 게 더 싸죠,메뉴교환시추가가격문의
그러면 지불해야 되는 게 얼마죠?,500원 추가예요,메뉴교환시추가가격문의
그러면 가격이 얼마나 지불해야 돼요?,가격은 600원 정도 더 내세요,메뉴교환시추가가격문의
오늘 만든 떡볶이인가요?,네. 오늘 만들었어요.,메뉴만든시간
언제 만들었어요?,네 조금 전에 만들었는데요,메뉴만든시간
이거는 뭐예요?,닭개장하고 닭곰탕이에요,메뉴문의
프라이드면서 바삭한 거는 어떤 거예요?,하프 프라이드치킨 이예요,메뉴문의
치즈 버거는 메뉴판에 나온 종류가 전부인가요?,원하시면 더블 치즈 버거로도 가능합니다,메뉴문의
튀김 종류는 뭐가 있나요?,김말이 계란 야채 새우 고추가 있습니다,메뉴문의
혹시 김밥 종류는 어떤 게 있나요?,참치김밥이랑 땡초김밥 그리고 야채김밥이 있습니다,메뉴문의
순대에 간은 빼주시고 순대랑 내장만 좀 더 많이 주실 수 있나요?,네 그럼요,메뉴문의
1인분이면 몇 개 고르면 되나요?,총 5가지 고를 수 있습니다,메뉴문의
여기 불고기버거 파나요?,네 불고기버거 판매 중입니다,메뉴문의
불고기버거세트 되나요?,10분 정도 기다리셔야 됩니다,메뉴문의
인크레더블 버거 주문은 되나요?,네 주문 가능합니다,메뉴문의
메뉴판에 인크레더블 버거가 없네요,네 신메뉴라 아직 포스터가 바뀌지 않았습니다,메뉴문의
그럼 메뉴 추가도 가능할까요?,사이드 디시만 가능합니다,메뉴문의
맥모닝은 언제 파나요?,새벽 4시부터 10시 반까지 팝니다,메뉴문의
튀김은 한 개당 파나요?,네 종류별로 500원씩 합니다,메뉴문의
햄버거 세트메뉴로 하려고 하는데 뭐 뭐 있나요?,여기 제일 많이 나가는 메뉴 보여드릴게요,메뉴문의
감자튀김은 새로 튀겨주세요,네 금방 튀겨 드리겠습니다,메뉴문의
아 홀 식사랑 반찬이 다른가요?,네 포장이 불가능한 반찬들이 많이 때문에 부득이하게 기본 반찬만 해드리고 있습니다,메뉴문의
네 감사합니다 음식은 어떻게 나오나요?,전광판 번호 뜨면 가져가시면 됩니다,메뉴문의
제일 빨리 되는 메뉴가 뭔가요?,불고기버거 세트입니다.,메뉴문의
돈가스는 이거 한 종류예요?,네,메뉴문의
네 불고기버거는 재료가 뭔데요?,패티는 다 소고기 패티예요,메뉴문의
네 케이준 강정 까는 거는 내나 닭강정 같은 거죠?,네,메뉴문의
여기에서 삼계탕 팔아요?,네,메뉴문의
샐러드도 있네 리코타 샐러드?,샐러드로는 치킨 샐러드하고 콘 샐러드가 있어요,메뉴문의
그것도 매운 치킨이에요?,네,메뉴문의
이게 치킨으로 되어있어요?,네 살이 버거 패티하고 똑같은 거예요,메뉴문의
한우불고기도 있고 빅 불 와규가 뭐예요?,와규는 큰 거예요,메뉴문의
모차렐라 인 더 버거 이거는 뭐예요?,지금 그림에 나와 있는 건 모차렐라 인 더 버거 베이컨이에요,메뉴문의
맥도날드에 1999버건가 그런 종류는 없어요?,네 그런 건 없어요,메뉴문의
그러면 지금 하우스 버거 단품이 이거예요?,아니오 이게 단품이고 이게 세트예요,메뉴문의
치즈스틱 이런 건 없어요?,치즈스틱 1900원입니다,메뉴문의
메뉴가 뭐 뭐 있노,메뉴가 다 여기 있어요 아니면 위에 보셔도 됩니다,메뉴문의
세트가 싸겠지요?,가격표 보시면 그냥 불고기버거 하면 삼천팔백 원인데 단품 하면 이천 얼마 세트 하시면 오천육백 원이에요,메뉴문의
맥 스파이시 저건 뭐예요?,매운 치킨버거예요,메뉴문의
수수 버거는 뭐예요?,그건 새우예요,메뉴문의
긴 떡만도 있네요 저거는 뭐예요?,저거는 김말이하고 떡 튀김하고 만두튀김 들어가요 소스는 세 가지 있어요 매콤 사천 갈릭이요,메뉴문의
저기 라이스 치킨 너깃은 밥하고 치킨 너깃하고 같이 들어있는 거예요?,네,메뉴문의
키 렉스가 요즘 티브이에 선전하는 그건가요?,네,메뉴문의
핫크리스피는 치킨 패티 자체가 매운 거죠?,네,메뉴문의
클래식 치즈 버거는 뭐예요?,그거는 지금 안돼요,메뉴문의
인크레더블 버거 여기는 뭐 들어 있어요?,햄이랑 계란도 들어가 있고 통다리살도 들어가고 소스랑 치즈 들어있어서 되게 크게 나왔어요,메뉴문의
에그 마요라는 건 달걀을 스크램블 한 거예요?,아뇨 삶은 계란을 으깨가지고 넣어요,메뉴문의
치른 랩이 뭐예요?,치킨 스낵랩 말씀하시는 건데 토르티야에 양상추랑 치킨텐더랑 말려 있는 거예요,메뉴문의
인크레더블 버거라고 하는 건 뭐예요?,이렇게 생겼어요,메뉴문의
살이 버거는 뭐예요? 어떤 거예요?,닭 다리 살로 패티가 되어 있는 거예요,메뉴문의
눈꽃 치즈 치킨은 치즈예요?,치즈 가루 뿌려놓은 거예요,메뉴문의
부메랑 치킨은 뭔데요?,부메랑은 요새 잘 안 나가요,메뉴문의
치토스 치킨이 어떤 거예요?,치토스 치킨은 치토스 과자 가루를 치킨 위에 뿌리는 거예요,메뉴문의
트랙스 버거 이건 뭐예요?,통다리살 치킨 패티요,메뉴문의
그러면 주먹밥만 주시는 거예요 스푼이랑 다른 거는 있어요?,주먹밥만 드리는 거예요 비닐에 싸서 같이 드시면 돼요,메뉴문의
크기는 어느 정도 돼요?,이 정도요,메뉴문의
주먹밥도 같이 하시는 거예요?,네,메뉴문의
이거는 뭐예요?,이거는 햄버거요,메뉴문의
살사 버거는 어떤 거예요?,살사 버거는 소스 따로 있고요,메뉴문의
그럼 이 밑에 거는? 아 샐러리 버거,계란 노른자 소스 하나인데 맛이 반반 들어가 있어요,메뉴문의
샌드위치는 어떻게 해요?,적혀있어요,메뉴문의
마살라 버거는 어떤 거예요?,좀 매워요,메뉴문의
딥 치즈 버거는 어떤 거죠?,딥 치즈는 체더치즈 노란색 들어가 있는 건데 조금 느끼할 수 있어요,메뉴문의
이번에 새로 나온 거예요?,네,메뉴문의
순대 서비스 가능할까요?,예 넉넉하게 드릴게요,메뉴서비스요청
세트 메뉴 하나만 주세요,"네, 하나 드릴게요",메뉴주문
"저거 한번 먹어볼까요? 세트가 4,900원인 거",세트 하나 드릴게요,메뉴주문
주문할게요,말씀하세요,메뉴주문
그러면 몬스터와 퍼 세트 하나 부탁드리겠습니다,8900원 결제해드리겠습니다,메뉴주문
떡볶이 2인분이랑 순대 김밥 1인분씩 주세요,떡볶이는 지금 불 올린 지가 얼마 안 돼서 10분 정도 걸려요,메뉴주문
햄버거 감자튀김 콜라 주세요,햄버거 감자튀김 콜라 주문하시는 거면 세트 A로 주문하시는 게 저렴해요,메뉴주문
햄버거 A 세트 2개 주세요,네 주문 도와드리겠습니다,메뉴주문
참치김밥 하나 라볶이 하나 김치찌개 하나 주세요,네 알겠습니다,메뉴주문
음료는 환타 오렌지로 라지 사이즈로 주세요,네 음료 환타 오렌지 라지 사이즈에 사이드 어니언 링으로 교체되었습니다,메뉴주문
감자튀김 사이즈 업 가능한가요?,네 가능합니다,메뉴주문
어묵은 먹고 갈게요,네 알겠습니다,메뉴주문
콜라는 제로 콜라로 주세요,네 제로 콜라로 주문 도와드렸습니다,메뉴주문
인크레더블 버거 세트로 하나랑 음료는 주스로 주세요,네 주문받았습니다,메뉴주문
아 치킨 너깃도 하나 주세요,네 그럼 총 6500원입니다,메뉴주문
김밥이랑 라면 하나 주세요,손님 지금 김밥은 밥을 짓고 있어서 조금 기다리셔야 하는데요,메뉴주문
매운 떡볶이 있나요?,네 5가지 단계로 나누어져 있어요,메뉴주문
김밥 한 줄과 감자튀김도 되나요?,네  둘 다 됩니다,메뉴주문
일반 김밥 1줄 참치김밥 1줄 라볶이 1개 주세요,네 알겠습니다,메뉴주문
치킨 너깃 4조각도 하나 주세요,네 알겠습니다,메뉴주문
햄버거 세트 주문 가능한가요?,네 가능합니다,메뉴주문
그러면 떡볶이 1인분 튀김 1인분으로 해주세요,죄송하지만 떡볶이 1인분은 포장이 가능하지 않습니다,메뉴주문
치킨버거 세트 하나 불고기버거 세트 하나 주시겠어요?,네 치킨버거 불고기버거 세트 2개 주문받았습니다,메뉴주문
그러면 하우스 세트 한 개랑 베이컨 치즈 단품 한 개 주세요,칼 드릴게요 잘라드세요,메뉴주문
네 아몬드 크림치즈로 줘보세요,4300원이요,메뉴주문
아 콜라는 필요 없어요 요것만 주세요,만 칠천사백 원입니다,메뉴주문
그럼 그거 한 세트 주세요,네,메뉴주문
예. 야채 많이 넣어주세요,예,메뉴주문
아 그러면 위트로 주시고요. 안에는 뭐 뭐 들어가요?,소스와 야채 골라주시면 되고요. 소스는 나중에 뿌려드려요,메뉴주문
그러면 그렇게 주세요,오천오백 원이요,메뉴주문
아 저기 죄송한데 여기 소프트콘 하나 주세요,700원이요,메뉴주문
그럼 원래대로 두 세트 주세요,8000원입니다,메뉴주문
불고기 세트 하나 주세요,네,메뉴주문
제가 주문할 때 그걸 패티를 구별해가 주문 드려야 해요?,메뉴만 말씀해 주시면 돼요,메뉴주문문의
감자튀김은 새로 튀겨주실 수 있나요?,네 알겠습니다,메뉴주문문의
지금 식사가 가능한가요?,죄송한데 지금 영업시간이 다 돼서 포장만 가능하십니다,메뉴주문문의
혹시 김밥 주문 가능한가요?,네 주문 가능합니다,메뉴주문문의
네 다 세트로 해야 되나요?,아니요 단품도 가능합니다,메뉴주문문의
주문하려고요,네 주문받겠습니다,메뉴주문문의
와퍼세트 주문 가능한가요?,네 주문 도와드리겠습니다,메뉴주문문의
그럼 포장 말고 먹고 가는 건 괜찮죠?,네,메뉴주문문의
그럼 단품만 주문하는 게 가능한가요?,네 그렇게 하세요,메뉴주문문의
그럼 여기서 주문하면 되나요?,네 말씀 하세요,메뉴주문문의
주문할게요,네 주문 도와드리겠습니다,메뉴주문문의
주문은 어디서 하면 되나요?,앞에 있는 기계 이용하시면 되세요,메뉴주문문의
주문할게요,네 주문받겠습니다,메뉴주문문의
주문해도 되나요?,네 가능합니다,메뉴주문문의
여기서 주문해야 되죠?,네,메뉴주문문의
그럼 이걸로 주문해야 돼요 기계로?,네,메뉴주문문의
반반도 많이 해요?,네 많이 해요,메뉴주문문의
이거 반 이거 반은 안 되죠?,돼요,메뉴주문문의
이거는 뭐죠?,이거는 쿠킨데 추가하시면 추가요금 있어요,메뉴주문문의
그러면은 빵만 하면은,예 빅맥 단품 가능하신데 할인 메뉴는 단품이랑 세트가 사백 원밖에 차이가 안 나요,메뉴주문문의
제가 잘 몰라서 좀 설명 좀 해주시면 안 돼요?,여기서 주문 도와드릴게요,메뉴주문문의
여기서 주문해도 되나요?,네 말씀 하세요,메뉴주문문의
감자튀김은 돼요?,네 돼요,메뉴주문문의
그럼 새우버거는 돼요?,네,메뉴주문문의
저 혹시 여기서 주문돼요?,네 주문하세요,메뉴주문문의
내가 산 게 뭐라고 했죠?,인크레더블이요,메뉴주문확인
불고기버거 세트에 치즈스틱 추가 가능한가요?,네 가능합니다,메뉴추가문의요청
그럼 어묵도 2개 같이 주세요,네 그럴게요,메뉴추가문의요청
맥플러리 오레오 추가할게요,15900원입니다,메뉴추가문의요청
주먹밥도 하나 추가해 주세요,네 알겠습니다,메뉴추가문의요청
순대 3인분 추가 가능할까요?,순대가 지금 2인분밖에 안될 것 같습니다,메뉴추가문의요청
메뉴판은 어디 있나요?,위쪽에 보시면 나와있습니다,메뉴판요청
메뉴판 따로 있어요?,위에 보시고 주문하시면 돼요,메뉴판요청
메뉴판 하나 주시겠어요?,저희 메뉴판 따로 없고 이거 사진 찍어가세요,메뉴판요청
기프티콘도 사용할 수 있나요?,네 쿠폰 사용 누르시고 바코드를 찍으시면 됩니다,무료쿠폰사용
기프티콘 여기 있어요,네 포장되면 불러드릴게요,무료쿠폰사용
햄버거 기프티콘 어떻게 쓰나요?,바코드를 저에게 보여주세요,무료쿠폰사용
혹시 얼음 물도 주실 수 있나요?,네 드릴게요,물요청
물 좀 주실 수 있을까요?,물이랑 단무지랑 김치는 저기 셀프 바 이용하시면 돼요,물요청
물 좀 갖다 주세요,물과 반찬은 셀프입니다,물요청
물 좀 주시겠어요?,물은 셀프입니다.,물요청
물 한잔 마실 수 있어요?,네 드시면 됩니다,물요청
물 좀 미지근한 물 따뜻한 물 하나 주시겠어요?,갖다 드릴게요,물요청
배달도 될까요?,네 가능합니다,배달문의
배달도 되나요?,아니요 배달은 안 됩니다,배달문의
